101_00001|23.24947|113.33808
101_00002|23.34456|113.4143
101_00003|23.27114|113.34411
201_00001|23.21267|113.21256
201_00002|23.35178|113.22803
201_00003|23.22354|113.51043
201_00004|23.3117|113.25038
201_00005|23.12452|113.31776
301_00001|23.17523|113.2671
301_00002|23.14553|113.3725
301_00003|23.22801|113.47145
401_00001|23.1277|113.33717
401_00002|23.34648|113.29509
401_00003|23.25804|113.41801
401_00004|23.28646|113.47282
501_00001|23.13512|113.46054
501_00002|23.298|113.48266
501_00003|23.22269|113.39401
601_00001|23.11957|113.18284
601_00002|23.12139|113.34184
601_00003|23.21845|113.34443
701_00001|23.36056|113.43382
701_00002|23.26217|113.23351
701_00003|23.14501|113.22649
701_00004|23.29339|113.28163
701_00005|23.17099|113.39176
801_00001|23.28392|113.41354
801_00002|23.18556|113.44173
801_00003|23.12282|113.25043
801_00004|23.18807|113.51881
801_00005|23.16385|113.43139
901_00001|23.2044|113.3283
901_00002|23.20475|113.3713
901_00003|23.16476|113.20785
901_00004|23.17609|113.41363
